time, action, visualization
0:00:00,brush,bar-4
0:00:55,zoom,scatterplot-0-1
0:00:56,pan,scatterplot-0-1
0:00:58,zoom,scatterplot-0-1
0:01:03,range select,scatterplot-0-1
0:01:06,pan,scatterplot-0-1
0:01:07,range select,scatterplot-0-1
0:01:56,brush,bar-2
0:01:56,pan,bar-2
0:01:57,range select,bar-2
0:02:09,brush,bar-4
0:04:01,pan,bar-4
0:04:01,range select,bar-4
0:04:21,brush,bar-4
0:04:53,zoom,scatterplot-0-1
0:04:55,pan,scatterplot-0-1
0:04:58,range select,scatterplot-0-1
0:05:51,zoom,scatterplot-0-1
0:05:52,pan,scatterplot-0-1
0:05:56,range select,scatterplot-0-1
0:06:08,zoom,scatterplot-0-1
0:06:09,pan,scatterplot-0-1
0:06:12,range select,scatterplot-0-1
0:06:19,zoom,scatterplot-0-1
0:06:22,range select,scatterplot-0-1
0:07:32,pan,scatterplot-0-1
0:07:33,range select,scatterplot-0-1
0:08:18,pan,scatterplot-0-1
0:08:18,range select,scatterplot-0-1
0:08:20,zoom,scatterplot-0-1
0:08:21,pan,scatterplot-0-1
0:08:39,range select,scatterplot-0-1
0:08:42,brush,bar-4
0:08:44,range select,scatterplot-0-1
0:08:47,pan,scatterplot-0-1
0:08:58,range select,scatterplot-0-1
0:09:00,pan,scatterplot-0-1
0:09:02,range select,scatterplot-0-1
0:09:35,zoom,scatterplot-0-1
0:09:40,pan,scatterplot-0-1
0:09:52,zoom,scatterplot-0-1
0:09:55,pan,scatterplot-0-1
0:09:57,zoom,scatterplot-0-1
0:09:58,pan,scatterplot-0-1
0:10:01,zoom,scatterplot-0-1
0:10:01,pan,scatterplot-0-1
0:10:05,zoom,scatterplot-0-1
0:10:06,pan,scatterplot-0-1
0:10:16,range select,scatterplot-0-1
0:10:23,brush,bar-4
0:10:29,range select,scatterplot-0-1
0:10:35,pan,scatterplot-0-1
0:10:39,range select,scatterplot-0-1
0:11:01,pan,bar-4
0:11:01,range select,bar-4
0:11:04,pan,scatterplot-0-1
0:11:18,pan,bar-4
0:11:18,range select,bar-4
0:11:20,pan,scatterplot-0-1
0:11:27,pan,bar-4
0:11:27,range select,bar-4
0:11:28,pan,bar-4
0:11:28,range select,bar-4
0:11:29,pan,scatterplot-0-1
0:11:32,range select,scatterplot-0-1
0:11:37,pan,bar-4
0:11:37,range select,bar-4
0:11:44,range select,scatterplot-0-1
0:12:34,pan,scatterplot-0-1
0:12:45,range select,scatterplot-0-1
0:13:13,pan,bar-4
0:13:13,range select,bar-4
0:13:20,pan,scatterplot-0-1
0:13:35,range select,scatterplot-0-1
0:13:39,pan,scatterplot-0-1
0:13:41,range select,scatterplot-0-1
0:13:42,pan,scatterplot-0-1
0:13:43,range select,scatterplot-0-1
0:13:45,pan,scatterplot-0-1
0:13:47,range select,scatterplot-0-1
0:13:56,zoom,scatterplot-0-1
0:13:57,pan,scatterplot-0-1
0:13:59,range select,scatterplot-0-1
0:14:05,zoom,scatterplot-0-1
0:14:07,pan,scatterplot-0-1
0:14:10,zoom,scatterplot-0-1
0:14:11,pan,scatterplot-0-1
0:14:16,range select,scatterplot-0-1
0:14:20,pan,scatterplot-0-1
0:14:20,range select,scatterplot-0-1
0:14:33,brush,bar-4
0:14:35,range select,scatterplot-0-1
0:14:40,brush,bar-4
0:14:41,range select,scatterplot-0-1
0:14:58,pan,scatterplot-0-1
0:15:03,range select,scatterplot-0-1
0:15:34,brush,bar-4
0:15:39,pan,bar-4
0:15:39,range select,bar-4
0:15:41,brush,bar-4
0:15:44,range select,scatterplot-0-1
0:15:47,pan,scatterplot-0-1
0:15:53,brush,bar-4
0:15:55,brush,hist-3
0:15:56,brush,bar-2
0:15:57,brush,bar-4
0:16:01,pan,bar-4
0:16:01,range select,bar-4
0:16:04,pan,scatterplot-0-1
0:16:37,range select,scatterplot-0-1
0:16:39,pan,scatterplot-0-1
0:16:40,range select,scatterplot-0-1
0:16:42,pan,bar-4
0:16:42,range select,bar-4
0:16:43,pan,scatterplot-0-1
0:16:59,range select,scatterplot-0-1
0:17:09,pan,bar-4
0:17:09,range select,bar-4
0:17:11,pan,bar-4
0:17:11,range select,bar-4
0:17:13,pan,bar-4
0:17:13,range select,bar-4
0:17:16,pan,scatterplot-0-1
0:17:20,pan,bar-4
0:17:20,range select,bar-4
0:17:21,range select,scatterplot-0-1
0:17:23,pan,scatterplot-0-1
0:17:25,range select,scatterplot-0-1
0:17:41,pan,bar-4
0:17:41,range select,bar-4
0:17:47,brush,bar-4
0:17:49,zoom,scatterplot-0-1
0:17:50,pan,scatterplot-0-1
0:17:52,zoom,scatterplot-0-1
0:17:52,pan,scatterplot-0-1
0:17:53,brush,bar-4
0:17:57,pan,bar-4
0:17:57,range select,bar-4
0:18:03,range select,scatterplot-0-1
0:18:05,pan,scatterplot-0-1
0:18:08,zoom,scatterplot-0-1
0:18:10,range select,scatterplot-0-1
0:18:28,brush,bar-4
0:18:29,pan,bar-4
0:18:29,range select,bar-4
0:18:52,zoom,scatterplot-0-1
0:18:54,pan,scatterplot-0-1
0:20:29,range select,scatterplot-0-1
0:20:30,pan,scatterplot-0-1
0:20:34,range select,scatterplot-0-1
0:20:42,pan,scatterplot-0-1
0:21:10,range select,scatterplot-0-1
0:21:16,pan,scatterplot-0-1
0:21:17,range select,scatterplot-0-1
0:21:18,pan,scatterplot-0-1
0:21:32,zoom,scatterplot-0-1
0:21:33,pan,scatterplot-0-1
0:21:48,range select,scatterplot-0-1
0:21:49,pan,scatterplot-0-1
0:21:51,range select,scatterplot-0-1
0:22:00,zoom,scatterplot-0-1
0:22:01,pan,scatterplot-0-1
0:22:03,range select,scatterplot-0-1
0:22:06,pan,scatterplot-0-1
0:22:07,range select,scatterplot-0-1
0:22:31,pan,bar-4
0:22:31,range select,bar-4
0:22:32,pan,scatterplot-0-1
0:22:34,range select,scatterplot-0-1
0:23:01,zoom,scatterplot-0-1
0:23:07,pan,scatterplot-0-1
0:23:10,zoom,scatterplot-0-1
0:23:11,pan,scatterplot-0-1
0:23:19,range select,scatterplot-0-1
0:23:21,pan,scatterplot-0-1
0:23:21,range select,scatterplot-0-1
0:23:23,pan,scatterplot-0-1
0:23:25,range select,scatterplot-0-1
0:23:33,brush,hist-3
0:23:33,brush,bar-2
0:23:34,pan,bar-2
0:23:34,range select,bar-2
0:24:04,pan,bar-2
0:24:04,range select,bar-2
0:24:09,pan,bar-2
0:24:09,range select,bar-2
0:24:17,pan,bar-2
0:24:17,range select,bar-2
0:24:19,pan,bar-2
0:24:19,range select,bar-2
0:24:20,pan,bar-2
0:24:20,range select,bar-2
0:24:22,pan,bar-2
0:24:22,range select,bar-2
0:24:23,pan,bar-2
0:24:23,range select,bar-2
0:24:25,pan,bar-2
0:24:25,range select,bar-2
0:24:26,pan,bar-2
0:24:26,range select,bar-2
0:24:30,pan,bar-2
0:24:30,range select,bar-2
0:24:49,pan,bar-2
0:24:49,range select,bar-2
0:24:53,pan,bar-2
0:24:53,range select,bar-2
0:24:54,pan,bar-2
0:24:54,range select,bar-2
0:24:55,pan,bar-2
0:24:55,range select,bar-2
0:24:55,pan,bar-2
0:24:55,range select,bar-2
0:24:56,pan,bar-2
0:24:56,range select,bar-2
0:24:58,pan,bar-2
0:24:58,range select,bar-2
0:25:00,pan,bar-2
0:25:00,range select,bar-2
0:25:04,pan,bar-2
0:25:05,range select,bar-2
0:25:05,pan,bar-2
0:25:05,range select,bar-2
0:25:12,pan,bar-2
0:25:12,range select,bar-2
0:25:13,pan,bar-2
0:25:13,range select,bar-2
0:25:15,pan,bar-2
0:25:15,range select,bar-2
0:25:16,pan,bar-2
0:25:16,range select,bar-2
0:25:18,pan,bar-2
0:25:18,range select,bar-2
0:25:19,pan,bar-2
0:25:19,range select,bar-2
0:25:22,pan,bar-2
0:25:22,range select,bar-2
0:25:25,pan,bar-2
0:25:25,range select,bar-2
0:25:25,pan,bar-2
0:25:25,range select,bar-2
0:25:27,pan,bar-2
0:25:27,range select,bar-2
0:25:28,pan,bar-2
0:25:28,range select,bar-2
0:25:33,pan,bar-2
0:25:33,range select,bar-2
0:25:33,pan,bar-2
0:25:33,range select,bar-2
0:25:37,pan,bar-2
0:25:37,range select,bar-2
0:25:38,pan,bar-2
0:25:38,range select,bar-2
0:25:39,pan,bar-2
0:25:39,range select,bar-2
0:25:41,pan,bar-2
0:25:41,range select,bar-2
0:25:42,pan,bar-2
0:25:42,range select,bar-2
0:25:42,pan,bar-2
0:25:42,range select,bar-2
0:25:43,pan,bar-2
0:25:43,range select,bar-2
0:25:44,pan,bar-2
0:25:45,range select,bar-2
0:25:49,brush,hist-3
0:25:50,brush,bar-2
0:26:11,brush,bar-4
0:27:11,pan,bar-4
0:27:11,range select,bar-4
0:27:13,zoom,scatterplot-0-1
0:27:14,pan,scatterplot-0-1
0:27:20,zoom,scatterplot-0-1
0:27:21,pan,scatterplot-0-1
0:27:27,range select,scatterplot-0-1
0:27:42,brush,bar-4
0:28:20,brush,bar-2
0:28:23,brush,bar-4
0:28:26,brush,hist-3
0:28:27,brush,bar-2
0:28:39,brush,hist-3
0:29:16,brush,bar-4
0:29:18,range select,scatterplot-0-1
0:29:20,pan,scatterplot-0-1
0:29:25,range select,scatterplot-0-1
0:31:18,brush,bar-4
0:31:49,brush,bar-2
